He;	was: 1, 
was;	born: 1, that: 1, the: 1, a: 1, 
born;	in: 1, 
in;	the: 1, One.: 2, three: 1, it: 1, every: 1, an: 1, his: 1, my: 1, 
the;	ash: 1, Velothi,: 1, war: 1, northern: 1, village: 1, netchimen,: 1, Prince: 1, messages: 1, Face-Snaked: 1, Three: 2, netchiman's: 5, ocean: 1, image: 1, Clockwork: 1, Hortator: 1, water,: 1, surface: 1, shoals: 1, egg-knowledge: 1, Codes: 1, prophecies: 1, forbidden: 1, egg: 2, bones.: 1, Barons: 2, Multiplier: 1, Hortator.: 1, land: 1, Indoril: 1, warriors: 1, Demiprince: 1, face: 1, splendor: 1, unmixed: 1, number: 2, 
ash;	among: 1, 
among;	the: 1, 
Velothi,;	anon: 1, 
anon;	Chimer,: 1, 
Chimer,;	before: 1, 
before;	the: 2, 
war;	with: 1, comes.: 1, 
with;	the: 1, gills: 1, my: 1, 
northern;	men.: 1, 
men.;	Ayem: 1, 
Ayem;	came: 1, took: 1, threw: 1, 
came;	first: 1, to: 2, forth,: 1, 
first;	to: 1, I: 1, 
to;	the: 6, it: 2, her: 1, haunt: 1, behold: 1, his: 1, 
village;	of: 1, 
of;	the: 5, Boethiah,: 1, Plots,: 1, stars.: 1, glass: 1, my: 2, words: 1, homunculi: 1, Azura's: 1, Mephala: 1, Veloth: 1, Trinimac.: 1, Move: 1, Motions: 1, fighting: 1, birds: 1, honest: 1, 
netchimen,;	and: 1, 
and;	her: 1, things: 1, known: 1, said:: 2, a: 1, coral.: 1, milk: 1, swords,: 1, multitudes: 1, they: 2, set: 1, the: 2, even: 1, each: 1, he: 1, still: 1, its: 1, find: 1, so: 1, 
her;	shadow: 1, until: 1, into: 1, sex: 1, down: 1, one: 1, 
shadow;	was: 1, 
that;	of: 1, she: 1, could: 1, is: 1, can: 1, 
Boethiah,;	who: 1, 
who;	was: 1, possesses: 1, fell: 1, 
Prince;	of: 1, 
Plots,;	and: 1, 
things;	unknown: 1, 
unknown;	and: 1, 
known;	would: 1, 
would;	fold: 1, 
fold;	themselves: 1, 
themselves;	around: 1, 
around;	her: 1, 
until;	they: 1, mystery: 1, the: 1, 
they;	were: 1, raised: 1, danced: 1, 
were;	like: 1, 
like;	stars: 1, a: 1, 
stars;	or: 1, 
or;	the: 2, eight: 2, 
messages;	of: 1, 
stars.;	Ayem: 1, 
took;	a: 1, her: 1, 
a;	netchiman's: 1, seven-syllable: 1, glimmering: 1, Demiprince,: 1, pillar: 1, better: 1, world: 1, 
netchiman's;	wife: 6, 
wife;	and: 2, into: 1, with: 1, back: 1, said: 1, 
'I;	am: 2, 
am;	the: 2, 
Face-Snaked;	Queen: 1, 
Queen;	of: 1, 
Three;	in: 2, 
One.;	In: 2, 
In;	you: 2, 
you;	is: 2, will: 1, shall: 1, wait: 1, this.': 1, 
is;	an: 2, when: 1, delivered: 1, its: 1, said: 1, the: 1, how: 1, under: 1, 
an;	image: 1, egg.: 1, egg: 1, eighth: 1, ancient: 1, 
image;	and: 1, as: 1, 
seven-syllable;	spell,: 1, 
spell,;	AYEM: 1, 
AYEM;	AE: 1, 
AE;	SEHTI: 1, VEHK,: 1, 
SEHTI;	AE: 1, 
VEHK,;	which: 1, 
which;	you: 2, the: 1, 
will;	repeat: 1, say,: 1, only.': 1, 
repeat;	to: 1, 
it;	until: 1, the: 1, is: 1, could: 1, 
mystery;	comes.': 1, 
Then;	Ayem: 1, Seht: 1, an: 1, the: 1, 
threw;	the: 1, 
into;	the: 1, castles: 1, a: 1, 
ocean;	water: 1, 
water;	where: 1, 
where;	dreughs: 1, 
dreughs;	took: 1, 
castles;	of: 1, 
glass;	and: 1, 
coral.;	They: 1, 
They;	gifted: 1, 
gifted;	the: 1, 
gills;	and: 1, 
milk;	fingers,: 1, 
fingers,;	changing: 1, 
changing;	her: 1, 
sex;	so: 1, 
so;	that: 1, gave: 1, 
she;	might: 1, stayed: 1, lay: 1, 
might;	give: 1, 
give;	birth: 1, 
birth;	to: 1, 
as;	an: 1, 
egg.;	There: 1, 
There;	she: 2, 
stayed;	for: 1, 
for;	seven: 2, the: 1, that: 1, in: 1, 
seven;	or: 2, 
eight;	months.: 1, more: 1, 
Seht;	came: 1, then: 1, 
Clockwork;	King: 1, 
King;	of: 1, 
egg;	of: 1, new: 1, and: 1, 
my;	brother-sister,: 1, bladed: 1, left: 1, right: 1, will: 1, 
brother-sister,;	who: 1, 
possesses;	invisible: 1, 
invisible;	knowledge: 1, 
knowledge;	of: 1, 
words;	and: 1, 
swords,;	which: 1, 
shall;	nurture: 1, 
nurture;	until: 1, 
Hortator;	comes.': 1, 
And;	Seht: 1, Fa-Nuit-Hen: 1, 
then;	extended: 1, 
extended;	his: 1, 
his;	hands: 1, later: 1, people.: 1, 
hands;	and: 1, 
multitudes;	of: 1, 
homunculi;	came: 1, 
forth,;	each: 1, 
each;	like: 1, one: 1, 
glimmering;	rope: 1, 
rope;	through: 1, 
